Comment,Description,Designator,Footprint,LibRef,Manufacturer 1,Manufacturer Part Number 1,Manufacturer 2,Manufacturer Part Number 2
"33","RES 33 OHM 1/32W 1% 01005","R52","R_01005","R_01005_33","Samsung Electro-Mechanics America, Inc","RC0402F330CS","",""
"22µF","CAP CER 22UF 35V 20% JB 0805","C8, C11, C31, C42, C43","C_ERA-0805","C_0805_22µF_35V","TDK Corporation","C2012JB1V226M125AC","",""
"22uF","CAP CER 22UF 6.3V 20% X5R 0603","C52, C95","C_ERA-0603","C_0603_22uF","TDK Corporation","C1608X5R0J226M080AC","",""
"22uF","CAP CER 22UF 6.3V X7R 10% 0805","C38, C78","C_ERA-0805","C_0805_22UF_6.3V","AVX Corporation","08056D226MAT2A","Taiyo Yuden","JMK212BJ226MG-T"
"19.2MHz Oscillator","OSC 19.200 MHZ 3.3V SMD","U9","LCCS165P160X200X70-4N","U_ASA-19.200MHZ-L-T","Abracon Corporation","ASA-19.200MHZ-L-T","",""
"10uF","CAP CER 10UF 4V 20% X5R 0402","C40, C50, C59, C60, C61, C72, C82","C_0402","C_0402_10uF","Taiyo Yuden","AMK105CBJ106MV-F","",""
"10K","RES 100K OHM 1/32W 1% 01005 SMD","R13","R_01005","R_01005_100K","Yageo","RC0100FR-07100KL","",""
"10K","RES 10K OHM 1/32W 1% 01005","R3, R7, R8, R10, R22, R23, R24, R25, R26, R30, R33, R34, R35, R39, R43, R45, R64, R65","R_01005","R_01005_10K","Samsung Electro-Mechanics America, Inc","RC0402F103CS","",""
"4.7uF","CAP CER 4.7UF 6.3V 10% X7R 0603","C81","C_0402","C_0402_4.7uF","Samsung Electro-Mechanics America, Inc","CL10B475KQ8NQNC","",""
"4.7k","RES 4.7K OHM 1/32W 1% 01005 SMD","R14, R27, R28, R29, R32","R_01005","R_01005_4.7k","Yageo","RC0100FR-074K7L","",""
"3.3V STEP UP/DOWN","IC REG BUCK BST SYNC ADJ 12-LLP","U7","QFN40P300X300X80_HS-13L","U_LM3668SD-2833/NOPB","Texas Instruments","LM3668SD-2833/NOPB","",""
"2.5V Buck Converter","IC REG BUCK SYNC 2.5V 0.6A 5USMD","U12","BGA4C50P2X2_105X138X60","U_LM3671TL-2.5/NOPB","Texas Instruments","LM3671TL-2.5/NOPB","",""
"2.2uH Wirewound","COIL CHOKE 2.2UH SHIELDED SMD","L6","L_SMD_2.2uH","L_SMD_2.2uH","Panasonic Electronic Components","ELL-VFG2R2NC","",""
"2.2uH","INDUCTOR MULTILAYER 2.2UH 0805","L5","C_ERA-0805","L_0805_2.2uH_160mOhm","TDK Corporation","MLZ2012M2R2HT000","",""
"1.0uF","CAP CER 1.0UF 16V X5R 0402","C16, C37","C_ERA-0402","C_0402_1.0UF_16V","TDK Corporation","C1005X5R1C105K050BC","",""
"1uF","CAP CER 1UF 6.3V 20% JB 0402","C41","C_0402","C_0402_1uF","TDK Corporation","C1005JB0J105M050BB","",""
"1M Ohms","RES 1M OHM 1/32W 1% 01005 SMD","R1, R5, R15, R31, R67","R_01005","R_01005_1M","Yageo","RC0100FR-071ML","",""
"1k","RES 1K OHM 1/32W 1% 01005 SM","R9, R20, R21, R41, R49, R50, R51, R59, R60, R61, R66","R_01005","R_01005_1k","Panasonic Electronic Components","ERJ-XGNF1001Y","",""
"0.47µF","CAP CER 0.47UF 6.3V 20% JB 0201","C57, C77","CAPC0201","C_0201_0.47µF","TDK Corporation","C0603JB0J474M030BC","",""
"0.1UF","CAP CER 0.1UF 6.3V 10% X5R 0201","C9","CAPC0201","C_0201_0.1UF","TDK Corporation","C0603X5R0J104M030BC","",""
"0.1uF","CAP CER 0.1UF 6.3V 20% X5R 01005","C1, C2, C3, C4, C5, C6, C7, C12, C13, C14, C15, C17, C18, C19, C20, C21, C22, C23, C24, C25, C26, C27, C28, C29, C30, C32, C33, C34, C35, C36, C39, C44, C51, C58, C62, C63, C64, C65, C66, C67, C68, C69, C70, C71, C73, C83, C84, C85, C86, C87, C88, C89, C90, C94","C_01005","C_01005_0.1uF","TDK Corporation","C0402X5R0J104M020BC","",""
